codigo_stn,ano,estado,tipo_corpo_agua,ph_medio,oxigenio_dissolvido_medio,nitrato_medio_mg_l,coliformes_totais_medio,coliformes_fecais_medio,temperatura_media_c,condutividade_media,bod_medio_mg_l
3800,2023,ASSAM,LAKE,6.9,4.75,1.25,1128.716084761797,424.2640687119285,23.0,152.0,2.4000000000000004
2205,2023,ASSAM,LAKE,7.05,6.05,1.2,1039.2304845413264,672.7555276621664,22.5,137.0,2.2
5620,2023,ASSAM,LAKE,7.1,5.6,0.95,1519.8684153570664,522.4940191045253,30.0,102.0,2.2
3808,2023,ASSAM,LAKE,7.25,6.1,1.65,916.515138991168,427.7849927241488,27.5,120.0,2.35
3798,2023,ASSAM,LAKE,7.05,5.4,1.15,1128.716084761797,431.2771730569565,25.0,105.0,2.25
2215,2023,ASSAM,LAKE,7.4,7.300000000000001,1.0,825.8329128825031,328.63353450309967,27.0,106.0,2.15
3814,2023,ASSAM,LAKE,7.25,2.45,1.35,3117.691453623979,2049.39015319192,24.0,408.0,14.9
3804,2023,ASSAM,LAKE,7.05,5.7,0.95,1044.9880382090505,431.2771730569565,22.0,124.0,2.4
3819,2023,ASSAM,LAKE,7.25,0.7000000000000001,3.15,4718.05044483418,3174.9015732775088,24.5,405.0,20.2
2225,2023,ASSAM,POND,7.05,4.85,0.9,1087.658034494298,620.0,21.0,108.0,2.45
2214,2023,ASSAM,POND,7.25,6.3,1.35,935.9487165438072,328.63353450309967,25.0,96.5,2.25
2219,2023,ASSAM,POND,7.3,8.5,1.15,1200.0,467.9743582719036,28.0,218.0,2.3
2208,2023,ASSAM,POND,7.15,6.550000000000001,0.95,798.1227975693965,328.63353450309967,27.0,103.0,2.35
3772,2023,ASSAM,POND,7.3,6.75,0.8,877.4964387392122,328.63353450309967,28.5,113.0,2.45
2216,2023,ASSAM,POND,8.05,7.55,1.1,1496.6629547095763,512.6402247190518,28.0,180.0,2.55
2221,2023,ASSAM,POND,7.45,7.75,1.1,916.515138991168,328.63353450309967,28.5,116.0,2.3
2209,2023,ASSAM,POND,7.1,6.25,1.1,1046.4224768228175,572.3635208501673,28.5,112.5,2.1500000000000004
2212,2023,ASSAM,POND,7.199999999999999,7.05,1.15,1044.9880382090505,431.2771730569565,25.5,165.0,2.35
2227,2023,ASSAM,POND,7.1,6.9,0.8500000000000001,948.6832980505138,467.9743582719036,28.0,100.0,2.4
2213,2023,ASSAM,POND,7.15,7.15,1.3,1080.7404868885037,525.3570214625479,27.0,157.0,2.25
1532,2023,ASSAM,POND,7.25,6.35,0.8,738.9181280764467,328.63353450309967,26.0,112.0,2.2
3809,2023,ASSAM,POND,7.35,6.35,2.85,1673.320053068151,531.0367218940702,25.5,343.0,2.45
2223,2023,ASSAM,POND,7.25,5.2,1.2,1073.312629199899,431.2771730569565,28.5,110.0,2.15
4006,2023,ASSAM,POND,7.050000000000001,6.6,0.8500000000000001,724.9827584156743,328.63353450309967,28.5,105.0,2.35
2211,2023,ASSAM,POND,7.25,7.0,1.1,948.6832980505138,467.9743582719036,27.0,213.0,2.45
2222,2023,ASSAM,POND,7.2,5.25,1.35,1087.658034494298,431.2771730569565,30.5,144.0,2.25
2224,2023,ASSAM,POND,7.15,5.25,1.25,1010.9401564880088,431.2771730569565,28.5,130.0,2.3
2210,2023,ASSAM,POND,7.4,6.6,1.0,889.9438184514795,467.9743582719036,29.5,110.0,2.35
3806,2023,ASSAM,POND,6.85,5.65,0.9,1128.716084761797,431.2771730569565,23.0,138.0,2.6
2226,2023,ASSAM,POND,7.199999999999999,6.550000000000001,0.95,896.1026726887941,328.63353450309967,27.5,95.0,2.4
2217,2023,ASSAM,POND,7.199999999999999,6.75,1.2,1483.2396974191329,522.4940191045253,26.0,259.0,2.5
3775,2023,ASSAM,POND,7.15,6.65,0.85,1046.4224768228175,467.9743582719036,28.0,104.0,2.2
4334,2023,ASSAM,POND,7.0,6.4,0.95,751.1324783285569,328.63353450309967,29.0,94.0,2.3
4349,2021,ANDHRA PRADESH,MARINE,7.65,6.5,1.05,77.9743547584717,5.291502622129181,27.5,39700.0,2.0
4352,2021,ANDHRA PRADESH,MARINE,7.75,6.9,1.05,77.9743547584717,5.291502622129181,28.5,44100.0,2.05
4357,2021,ANDHRA PRADESH,BEACH,7.8,6.6,0.8,87.63560920082658,6.0,27.5,45150.0,1.85
4361,2021,ANDHRA PRADESH,BEACH,7.45,5.1,1.65,67.50555532695068,4.58257569495584,26.5,41850.0,
4362,2021,ANDHRA PRADESH,SEA,7.5,5.5,2.0,87.63560920082658,7.745966692414834,26.0,25960.0,2.45
4363,2021,ANDHRA PRADESH,SEA,7.5,4.3,1.9,94.86832980505136,6.0,26.5,23960.0,4.0
4371,2021,ANDHRA PRADESH,MARINE,7.6,6.15,1.3,87.63560920082658,5.291502622129181,27.0,28265.0,2.5
